request_id,created_at,status_code,time_to_first_token,time_to_completion,model,api_key_id,project_id,input_tokens,input_non_cached_tokens,input_cached_tokens,input_audio_seconds,output_tokens
req_01ks7wj3ghf53bvmdza8kzcvvz,1779455036945,200,0.217477,0.766197,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,1128,1128,0,0,242
req_01ks7whbaxe978evpcb61f44m9,1779455012189,200,0.761413,0.771979,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,3117,3117,0,0,14
req_01ks7wgdtbezjsfxjqafpv9vbm,1779454981963,200,0.269794,0.662692,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,2131,2131,0,0,147
req_01ks7wcy1tekgak2rm7zs7xfbm,1779454867514,200,0.27948,0.697841,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,2132,2132,0,0,151
req_01ks7wch2mfxht1gnebea4g6aj,1779454854228,200,0.750246,0.760776,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,1965,1965,0,0,14
req_01ks7w9955e7c98cb39ftrd9gj,1779454747813,200,0.212102,0.665613,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,2246,2246,0,0,115
req_01ks7w8n90e62ba461ejet232p,1779454727456,200,0.353792,0.394003,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,2237,2237,0,0,14
req_01ks7w7r4ce43sj3g7b0ac2cmq,1779454697612,200,0.272351,0.293691,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,2072,2072,0,0,14
req_01ks7w3pv0fchtf4fp93t9ws7j,1779454565216,200,0.244952,0.267359,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,1470,1470,0,0,14
req_01ks7vsgfkek580x0371p8a8ve,1779454231027,200,0.636266,1.193086,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,1259,1259,0,0,194
req_01ks7vrcp2fdx8ak23rtvm5fbt,1779454194370,200,0.512362,0.522609,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,2193,2193,0,0,14
req_01ks7vq364fa0shwq119ry3844,1779454151876,200,0.456587,0.771851,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,2247,2247,0,0,106
req_01ks7tj19xex4vbx0jwm9vkp3n,1779452937533,200,0.409118,0.830567,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,1186,1186,0,0,187
req_01ks7tga2ye7at4h0sbbz396tx,1779452880990,200,0.675528,0.686073,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,2830,2830,0,0,14
req_01ks7tf6k9em68gkwmrg03b6qr,1779452844649,200,0.242458,0.692195,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,2192,2192,0,0,119
req_01ks7t0qy8f3d9khns39qg2r7n,1779452370888,200,0.226458,0.758535,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,1128,1128,0,0,219
req_01ks7szxdgevxtwa7pw1cw5vy2,1779452343728,200,0.748892,0.772278,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,2731,2731,0,0,14
req_01ks7szka8ez8bd2099pcgx4ba,1779452333384,200,0.240102,0.250633,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,1477,1477,0,0,14
req_01ks7sxja5es7sf4w2tpmgt7aj,1779452266821,200,0.219877,0.572008,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,1088,1088,0,0,124
req_01ks7rpx1pej8vet09tz7zjg0f,1779450999862,200,0.533054,0.917079,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,2214,2214,0,0,109
req_01ks7rp26pec6vx26dxzwtf1g8,1779450972374,200,0.304194,0.649803,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,2260,2260,0,0,99
req_01ks7rndzke9fs26k9be3xdtk4,1779450951667,200,0.372048,0.57529,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,1488,1488,0,0,69
req_01ks7rm6w6e9qtytch20dyb732,1779450911622,200,0.204522,0.247796,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,2001,2001,0,0,14
req_01ks7rkqnee2e96ayp2epb89mn,1779450896046,200,0.171889,0.206948,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,2000,2000,0,0,14
req_01ks7pab0mfk7v376p4r2jry1s,1779448491028,200,0.472363,0.88925,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,2238,2238,0,0,123
req_01ks77tja6ej1scc51pz49wbtm,1779433294150,200,0.351603,0.369744,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,2238,2238,0,0,14
req_01ks77qa88fdvvgdfmrdb3favv,1779433187592,200,0.254598,0.659902,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,1658,1658,0,0,105
req_01ks77ps6vfc2tsg107yfnvwyr,1779433170139,200,0.138401,0.169126,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,1598,1598,0,0,14
req_01ks77njshf7tvwszx1yvfjf5w,1779433130801,200,0.409376,0.704797,llama-3.3-70b-versatile,key_01ks5bybb9e79sbwnbfq7w4r90,project_01ks5bxh7wfyt8vj4gs8hm9why,1717,1717,0,0,86
